Name,Price,positive_ratio,total_reviews,Achievements,Metacritic_score,platform_count,is_free,Average_playtime_forever,Peak_CCU,Hours_watched,Avg_viewers,Peak_viewers,Streamers,watch_per_stream_hour,streaming_popularity,community_engagement,success
Quake Champions,0.0,0.7250836906090327,34054,52,80,1,1,841,611,14029478,736.6538461538462,56791,87631,25.95734548051554,16.4566713166778,68.91209288841482,0
DOOM 3,4.99,0.8905097787752485,6238,0,87,1,0,342,43,116783,157.0,10092,584,58.951539626451286,11.668081353691413,44.23986736331274,1
DreadOut 2,19.99,0.7578347578347578,1404,15,80,1,0,86,7,399008,574.0,31528,282,338.4291772688719,12.896739252008587,46.05515604349888,0
Barotrauma,29.99,0.9239583333333333,30720,45,80,3,0,2327,2686,1238114,840.0,24508,2734,73.28720255712088,14.029100619673411,69.58652695521238,1
PGA TOUR 2K21,14.99,0.8358831710709318,6471,29,74,1,0,691,1461,3166618,1443.0,58027,13900,31.299042234588278,14.968175015157788,63.84138648195512,0
S.T.A.L.K.E.R.: Clear Sky,9.99,0.8592760180995475,15470,0,75,1,0,1216,304,255110,343.0,16143,248,169.1710875331565,12.44945402354521,56.343049773753684,1
Destiny 2,0.0,0.8396092602813909,480115,23,83,1,1,9390,72573,628984478,9796.477272727272,517758,4656216,13.015785536940891,20.25961713868459,120.22001889510436,0
New World,39.99,0.6770302516454413,228814,133,70,1,0,7432,16688,277890359,13057.103448275862,981589,507766,37.1092654060207,19.442737205374108,116.95454703684103,0
Resident Evil Village,39.99,0.9591934709553529,77071,49,83,1,0,1306,1255,64567035,10899.5,645130,275884,27.41346127718545,17.983214559878608,104.60954229504212,1
Iratus: Lord of the Dead,5.99,0.8637261356155366,6076,75,78,3,0,566,163,479715,645.0,19308,576,119.6595160888002,13.080949541113613,56.37532930588327,1
Loop Hero,14.99,0.9368614914170547,28778,50,80,3,0,1167,620,6219389,8370.0,62410,12397,64.70778754616865,15.643182389166563,92.7405956039372,1
Granblue Fantasy: Versus,19.99,0.8175316339629561,5453,50,80,1,0,1563,143,4922303,1715.0,29261,13998,45.93585986785621,15.40928727153662,64.08123077576961,0
Phantasmagoria,6.49,0.863905325443787,338,0,80,1,0,401,6,124560,167.0,16383,19,1482.857142857143,11.732550834735127,29.852214694216944,1
Stationeers,29.99,0.8372767857142858,4480,4,80,1,0,1059,833,177923,239.0,7329,350,53.334232613908874,12.089111771806026,46.07902811388602,0
What Remains of Edith Finch,19.99,0.9553268407850081,27108,9,89,1,0,150,61,415045,282.0,45323,1337,131.17730720606826,12.936144636443656,57.62658261757649,1
Dinkum,19.99,0.9489616332277367,2841,0,80,1,0,518,10135,2450220,1648.5,60412,11190,29.96184792976106,14.711688782534399,58.912175656228655,1
Ghosts 'n Goblins Resurrection,29.99,0.8505338078291815,562,31,80,1,0,0,10,1642363,1164.0,37067,1233,181.5568206942295,14.311647225303915,44.71597113374829,0
Ready or Not,39.99,0.9254663543794953,60201,1,80,1,0,696,4839,9547777,3212.25,229865,60929,42.88572224243486,16.071819015227945,88.86951641399763,1
The Dark Pictures Anthology: Man of Medan,29.99,0.7371653156472611,8142,30,75,1,0,312,110,4338838,1974.6666666666667,96786,24326,47.90643597698992,15.28311735876826,68.33524079489617,0
UnderMine,19.99,0.9308899107384365,7394,96,80,3,0,1409,180,1471057,989.5,48576,3165,67.07660389403128,14.201492427766166,61.45311217470613,1
Syndrome,19.99,0.6357142857142857,280,21,56,2,0,197,0,247564,333.0,40094,255,266.7715517241379,12.419428452773268,32.76527395190692,0
Cyberpunk 2077,59.99,0.7508953770169949,521568,44,86,1,0,3851,13739,117546577,5149.677419354839,1126038,818976,17.869229157836937,18.58234522151003,112.51627594627239,0
Detroit: Become Human,39.99,0.9269397293527292,55201,48,80,1,0,677,1232,44628007,1556.7435897435898,236767,237585,42.91951006292514,17.613872201954848,80.26369457791633,1
Conarium,19.99,0.7940691927512356,1821,26,71,3,0,216,5,144839,201.0,48592,441,93.99026606099935,11.883384963879578,39.852828722190935,0
Agrou,4.99,0.8971324533454711,2197,15,80,1,0,119,0,1169185,800.5,42718,834,314.80479267635974,13.971818338148223,51.454528767300125,1
Reign Of Kings,9.99,0.571743634297935,14963,0,80,1,0,1311,23,139874,194.0,3432,244,97.60921144452197,11.848504445614227,50.69146764219853,0
The Binding of Isaac: Rebirth,14.99,0.9769211704159437,205773,637,80,3,0,10084,16630,1301261,898.0,24535,8439,26.476916190204896,14.078845120770811,83.2105268839909,1
Romance of the Three Kingdoms XIII,59.99,0.5386409578603638,6431,0,80,1,0,2975,989,195258,262.0,3484,68,125.16538461538461,12.182082161389921,48.86244611255825,0
"Warhammer 40,000: Dawn of War III",39.99,0.4701897693878567,20077,84,77,3,0,752,142,1179290,810.0,28233,3347,47.192364640441795,13.980423968403048,66.36228673462355,0
Aliens: Fireteam Elite,39.99,0.8095496841676288,14723,42,80,1,0,961,545,3015624,4058.0,198891,10094,42.09061217653463,14.919317663509489,79.7404613449738,0
FIFA 22,59.99,0.7956248780543791,87129,37,80,1,0,5970,74621,371907694,39228.07692307692,785790,1605713,43.004704402253914,19.73415624972722,120.31700436572368,0
DiRT Rally,4.49,0.8772138200438145,37887,170,86,3,0,651,249,112223,156.0,3344,4291,4.9610096812696165,11.628252152939904,53.30491379121673,1
PUBG: BATTLEGROUNDS,0.0,0.5630724756697079,2050633,37,80,1,1,21963,275374,390251522,13370.85,190860,1914581,19.88403776306696,19.782302019978722,138.08294839549373,0
Tropico 5,19.99,0.7832278481012658,13272,70,75,2,0,1297,243,179152,241.0,9216,348,142.41017488076312,12.095995468336682,52.10915991107935,0
DOOM,19.99,0.9526498930939277,166969,54,85,1,0,902,1887,10555143,842.4117647058823,169268,157002,17.62292134156115,16.172123881994803,81.0217364063124,1
Griftlands,19.99,0.9507024690331698,12029,13,84,3,0,1603,217,510792,710.0,22684,177,289.0730050933786,13.143719699052886,61.69493032447798,1
Ancestors: The Humankind Odyssey,39.99,0.7713866710118951,6137,13,80,1,0,307,155,4309669,1963.0,56387,9118,74.1767469879518,15.276371893023304,66.1385728991937,0
Squad,49.99,0.8793525179856115,111200,0,80,1,0,3615,9873,4965898,760.4444444444445,43467,25003,26.10744966090111,15.41810490654298,77.095216859323,1
Stonehearth,19.99,0.7629430237774787,11145,0,80,2,0,2630,168,764775,514.5,17583,665,124.63738591916558,13.547338259473804,58.197410129362396,0
Resident Evil 3,15.99,0.7815651993999897,57999,32,77,1,0,621,720,17365606,8022.333333333333,318002,74434,35.62007536054709,16.670002198919384,98.6053008119749,0
Doki Doki Literature Club Plus!,14.99,0.9669284574794453,16298,19,81,2,0,493,126,1051769,1415.0,32269,6863,27.591002098635887,13.865985017197804,70.37095698615589,1
METAL GEAR SOLID V: THE PHANTOM PAIN,19.99,0.9085754415168934,76894,42,91,1,0,2958,2919,2110733,262.90909090909093,6353,58161,7.0141030881243625,14.562546312259027,62.72664634124354,1
Through the Woods,19.99,0.7229571984435798,1285,27,63,1,0,155,2,187158,251.0,35636,314,223.07270560190705,12.139713801943865,39.58679690437272,0
Trine 4: The Nightmare Prince,7.49,0.9068647540983606,9760,39,81,1,0,400,233,436433,587.0,21468,1173,69.79577802654725,12.986392440080365,58.577571101659366,1
Mortal Online 2,26.79,0.6031464095407257,7882,72,80,1,0,595,1004,717914,1069.0,7680,1001,33.92627947639526,13.48410645662126,62.58664910101592,0
No Man's Sky,29.99,0.7610099750101508,238897,27,61,1,0,2544,32144,48005832,2722.2083333333335,218360,295606,24.35774748650973,17.68683308232244,97.95041983176942,0
Jurassic World Evolution 2,59.99,0.8278282716323062,13533,49,77,1,0,1375,2150,2531647,3521.0,85807,5238,49.970333379389295,14.744381032044828,77.69029485759293,0
Battlefield V,14.99,0.7069322627662566,117321,21,80,1,0,2491,14418,36496115,2001.76,277175,487907,15.101138747067894,17.412716401931768,88.73898084436097,0
The Quarry,0.0,0.7577266127359469,4821,40,80,1,1,455,1524,22975295,10588.0,354599,56609,70.53478340957234,16.94993010969213,78.59775125746684,0
Hand of Fate 2,7.49,0.8558806204594541,5093,99,80,3,0,435,93,1622196,1121.5,45824,3080,91.4737791812338,14.29929196127627,59.94973141802572,1
Black Squad,0.0,0.7637861125190066,78920,36,80,1,1,1342,1033,493247,331.5,33613,6276,14.799777964474316,13.108767369137665,65.47684766835407,0
We Were Here Too,9.99,0.8073221038157442,5818,20,69,2,0,201,78,502857,749.0,39122,1735,94.32695554305009,13.128063103062969,57.38864474372523,0
ELYON,0.0,0.547700754975978,4371,0,80,1,1,3163,178,4637962,2098.0,67337,9494,41.618467336683416,15.349785819189252,64.12319567510048,0
Captain Tsubasa: Rise of New Champions,59.99,0.6395610579628588,3554,50,75,1,0,477,105,1759495,1198.5,62593,5331,52.02681924362045,14.380537962368075,57.9658431216747,0
Sherlock Holmes: The Devil's Daughter,5.99,0.793471019320453,12008,25,65,1,0,279,64,236328,328.0,29358,386,100.73657289002557,12.372980180993991,54.44475638655342,0
Europa Universalis IV,39.99,0.864486675079801,107768,334,87,3,0,12350,22285,15241820,476.3181818181818,35731,37736,35.48413531716561,16.539553589273606,71.47533739717389,1
OUTRIDERS,39.99,0.6550899249170595,57270,52,80,1,0,3009,3710,20605214,4773.5,178993,124813,16.079520420895903,16.841054757061208,92.80494913362216,0
Poi,9.99,0.9109792284866469,674,25,80,3,0,0,0,218089,293.0,111219,44,1425.4183006535948,12.292663100611271,37.02688923986765,0
NBA 2K22,59.99,0.5664630421502749,32740,50,80,1,0,5204,28478,57475193,6573.583333333333,159548,755101,10.630826797177084,17.86686400398842,91.39425796935649,0
MultiVersus,39.99,0.9194845460711172,10321,28,80,1,0,313,51283,36837988,5536.888888888889,184916,618172,20.486285562385927,17.422040180456438,79.66048784862323,1
Observation,24.99,0.7990417136414881,3548,11,79,1,0,284,11,731205,984.0,52078,1330,122.09133411253966,13.50245050477769,56.34335562920919,0
Vampyr,7.99,0.7627978296768105,16956,28,72,1,0,671,399,2922646,4064.0,114271,13170,31.813883113631665,14.888000270464586,80.92804922715284,0
Untitled Goose Game,19.99,0.9573442798500803,11206,25,79,2,0,189,284,2157680,986.6666666666666,31186,12801,62.59769648089588,14.584544591816,64.29422547434169,1
Unpacking,19.99,0.9218321051871117,13842,25,84,3,0,287,423,1322649,1839.0,42307,7502,50.01887077865598,14.095147857832949,71.68358294876437,1
Soulworker,0.0,0.7531833868856361,8403,0,80,1,1,2504,1698,225452,313.0,7240,2839,8.88200764291061,12.32586699048059,51.95417734587996,0
Trek to Yomi,19.99,0.689908256880734,1090,28,80,1,0,248,13,622143,837.0,37475,10889,21.271300601750546,13.34092685618074,47.08246186479924,0
Rogue Tower,14.99,0.829746835443038,3160,85,80,1,0,738,802,672834,1002.0,30901,1193,129.46584568020012,13.419255407690901,55.69127838409858,0
The Elder Scrolls V: Skyrim,19.99,0.9482696880050843,309973,75,94,1,0,6458,4383,70223152,1300.3243243243244,195899,749608,12.419305901257685,18.067188629433904,90.67361315359251,1
Medieval Dynasty,34.99,0.9065331968300914,26373,44,73,1,0,1763,2373,4326212,1475.5,33742,13241,34.64517265680056,15.280203121453628,74.28881188793137,1
ANIME STANDING,0.99,0.8767123287671232,1679,100,80,1,0,32,1,807420,1122.0,2654,381,90.6500505220613,13.601600496475669,52.16229055005505,1
Wreckfest,29.99,0.8703637486591035,30763,20,81,1,0,983,806,1752053,798.0,79719,6430,54.32217158093821,14.376299371921297,69.0665233850717,1
Scrap Mechanic,19.99,0.9280679377013964,89376,0,80,1,0,2285,2753,3357118,1514.6666666666667,114076,8854,43.413441270416016,15.026593723650844,83.49369238848931,1
Superliminal,19.99,0.9471177806080071,18059,27,80,3,0,168,109,611776,850.0,66435,1009,234.21745788667687,13.324123116007307,66.12465372234104,1
Marbles on Stream,0.0,0.8544776119402985,1340,8,80,1,1,0,219,105183595,1974.7260273972602,85605,561281,33.45080946411205,18.47121791455036,54.64746224554294,1
Ring of Elysium,0.0,0.7439105989034585,100133,0,80,1,1,1839,564,14756340,1439.857142857143,57675,205214,10.994356916465376,16.507183446675388,83.74317082566019,0
The Dark Occult,14.99,0.6923076923076923,923,46,80,1,0,329,3,1165232,792.0,34357,2697,85.88089622641509,13.968431624984603,45.587274621723765,0
Stray,29.99,0.9773657955476137,40293,24,80,1,0,297,36912,15273826,6851.666666666667,287683,196264,22.00306842147722,16.54165126792924,93.65832470691889,1
CHUCHEL,9.99,0.8138996138996138,2590,7,81,2,0,191,13,244121,328.0,37133,545,210.8126079447323,12.40542337931699,45.55584995995633,0
My Time at Sandrock,24.99,0.8678812741312741,8288,36,80,1,0,1090,1250,833312,1158.0,34991,2897,26.577533966957965,13.633164600872634,63.65786263567626,1
Night of the Dead,24.99,0.8105576841209026,7047,53,80,1,0,2055,660,4963219,1698.5,27349,3887,131.1286393659181,15.417565281614523,65.90518466388458,0
Unravel Two,19.99,0.836858881483628,3451,28,76,1,0,555,138,446773,621.0,51982,1041,126.52874539790427,13.009808152899385,52.40729128579993,0
XERA: Survival,0.0,0.684767811223718,6611,0,80,1,1,414,134,883459,1189.0,28858,2155,79.46204353300953,13.691601295240455,62.29525134867414,0
"Warhammer 40,000: Eternal Crusade",0.0,0.49777777777777776,12600,67,80,1,1,378,0,108146,150.0,6867,328,35.98868552412645,11.591246691745425,47.37080539717159,0
Railway Empire,29.99,0.825489224671786,8074,128,74,2,0,2758,817,276041,411.0,22910,390,122.41286031042128,12.528308307035054,54.1683060427353,0
Mafia,14.99,0.8972893772893773,6825,0,88,1,0,270,91,414213,287.5,11806,276,238.73948126801153,12.934138027468983,50.01072731151187,1
World of Tanks,0.0,0.8075916615212725,34011,59,80,1,1,755,3765,523647336,6837.238095238095,184888,1102516,38.26603142222405,20.076328994712654,92.13933634931168,0
ELEX,29.99,0.7457169678479231,17044,50,67,1,0,1017,282,1670727,1134.5,56864,4554,39.832324051115776,14.328770017547582,68.54463933992854,0
Forza Horizon 5,59.99,0.8731237297681138,81678,89,80,1,0,3325,14205,15289412,4232.8,95582,199772,14.873880403176459,16.54267118606299,94.45278389410056,1
Dying Light,29.99,0.950255358627999,333061,78,87,3,0,2211,5110,11979399,824.55,134887,183510,14.813320538994498,16.298699065924904,85.40185338001282,1
Foundation,29.99,0.8728710462287105,11508,21,80,1,0,816,878,312266,465.0,29078,1256,41.10926803580832,12.651613870060672,57.45357092994429,1
"Papers, Please",9.99,0.9699502031938642,52413,13,85,3,0,343,435,473786,706.0,40920,980,193.61912545974664,13.068513132592958,71.29825448002109,1
FINAL FANTASY IX,20.99,0.9416833903907449,8471,85,84,1,0,1333,349,2219697,500.0,148498,5426,47.82180713547053,14.612881708558685,56.22622994586816,1
Strange Brigade,49.99,0.8463602217850116,5591,60,68,1,0,365,60,279452,376.0,27741,1067,60.44819381354099,12.540589400013275,51.18989117329149,0
Metro Exodus,29.99,0.8877328785095775,76220,68,85,3,0,1284,1212,8474813,3094.75,154978,39169,34.590791095582894,15.952609264087297,90.35589978132244,1
Danganronpa V3: Killing Harmony,39.99,0.8583089992036103,15068,41,80,1,0,1924,318,2359138,1063.3333333333333,18207,3263,61.69616611747476,14.673807279926477,67.0551522769186,1
Batman: Arkham City,0.0,0.9869477911646586,1992,64,91,1,1,1740,1,325415,437.0,166963,252,330.3705583756345,12.692859642810255,46.20902756842269,1
EVE Online,0.0,0.7458871809640376,27779,0,88,2,1,3328,4318,21514929,639.8695652173913,19345,40311,39.63379651206702,16.884257670705505,66.1280979622346,0
Spellbreak,0.0,0.8570539741794991,12858,11,80,1,1,681,130,9005240,2486.0,78725,95311,16.99319912743522,16.01331729914357,73.98022282966791,1
Sonic Mania,19.99,0.9320332388683414,20819,18,84,1,0,344,217,920871,625.0,36144,14221,19.790058454396974,13.733076326208666,64.03077086859236,1
Doki Doki Literature Club!,0.0,0.9663347717312827,178671,0,80,2,1,211,587,3629903,824.0,29839,32456,27.889935536415393,15.104716759610334,81.21119292496417,1
GRIME,24.99,0.8607343698312934,3023,35,81,1,0,402,25,754791,1015.0,34331,1657,62.4000496031746,13.534197493586236,55.48828434627919,1
SANABI,14.99,0.9753694581280788,812,0,80,1,0,138,47,1902834,1305.0,19998,3785,75.93718572910846,14.458855437316862,48.07589838534955,0
The Pedestrian,19.99,0.9753370601775732,3041,10,81,3,0,112,11,359607,517.0,25157,466,288.8409638554217,12.792769828273189,50.12649189134499,1
Monster Hunter Stories 2: Wings of Ruin,59.99,0.8173959608323134,13072,48,82,1,0,4510,527,3291372,4429.0,39406,8874,23.996238025108994,15.006815360913565,79.58131085567766,0
Shadow Warrior 2,29.99,0.8768786656891495,21824,64,78,1,0,522,175,768859,1034.0,28683,3011,52.31045040141516,13.552664177297443,69.35777822195925,1
MU Legend,0.0,0.4927257754597859,3643,0,80,1,1,305,28,509359,708.0,6090,3227,14.964861768075917,13.140910314690906,53.82911096060715,0
GRIS,4.24,0.9657353622465343,56122,17,84,2,0,216,263,654015,880.0,37570,3148,61.950838306337026,13.39088709497188,74.15290616788037,1
Remothered: Broken Porcelain,29.99,0.5629860031104199,643,34,80,1,0,313,6,568626,765.0,53086,891,140.36682300666502,13.25097996212266,42.95316545905817,0
Ghostwire: Tokyo,59.99,0.8121301775147929,7436,56,77,1,0,1010,647,2315098,3115.0,69857,9972,43.87563725954705,14.654963009166927,71.7087308357029,0
The Forest,19.99,0.9520671477927459,387563,45,83,1,0,1667,10082,49067222,959.3285714285714,112873,824192,12.077779197228969,17.70870181384188,88.3656031802825,1
Hell Let Loose,26.79,0.8511754773347188,76990,135,79,1,0,2858,13986,1535009,699.3333333333334,38383,7765,37.556493442943825,14.244047453640194,73.71446884546847,1
Wolfenstein II: The New Colossus,39.99,0.7912133642470721,33642,80,86,1,0,1112,578,3287454,1122.5,86606,15440,57.839016151166476,15.005624267161545,73.21721483592509,0
Mega Man 11,29.99,0.9141681363903587,3402,50,80,1,0,973,27,2515232,1137.0,124320,6251,77.24676760541752,14.737876001359963,57.22801256448754,1
SOULCALIBUR VI,13.49,0.8180783458218723,10543,49,80,1,0,849,286,5664501,1105.857142857143,41853,20293,47.99651750989248,15.549729540371795,64.92914818139289,0
The Messenger,19.99,0.9432734842570908,7686,48,83,1,0,330,55,863236,592.0,151270,2438,56.538904899135446,13.668444555770181,57.130159619199574,1
X4: Foundations,49.99,0.7591522157996147,14013,105,80,2,0,8429,2423,871226,591.0,19232,1509,54.1908316228152,13.677657841856192,60.948521945983565,0
Gigantic,0.0,0.7601401428378924,7421,0,76,1,1,188,1,1348435,907.0,37184,10438,28.073680046635577,14.114455960294757,60.70319831718677,0
FTL: Faster Than Light,2.49,0.9586427933064193,64898,51,84,3,0,1787,1768,6256218,330.5,18568,19729,63.742045257720406,15.649086566988437,64.30760572863974,1
Mutant Year Zero: Road to Eden,13.99,0.9066381878477882,17791,54,78,1,0,640,65,1357201,1826.0,43432,3146,61.57619890204619,14.12093578551329,73.50086016164825,1
Hellblade: Senua's Sacrifice,29.99,0.9137632671896632,52008,14,83,1,0,307,102,1653495,1116.0,83708,10885,32.416385664993726,14.318402392290082,76.21403271887091,1
RiME,29.99,0.9018771331058021,4688,31,78,1,0,119,13,336099,230.0,16483,2103,44.45165983335538,12.725164013713197,46.00461877352437,1
Danganronpa: Trigger Happy Havoc,19.99,0.9640300034094783,23464,38,82,3,0,1119,291,1500996,529.0,14314,1398,124.56398340248963,14.221640111946046,63.12562506093024,1
Gang Beasts,8.99,0.8073140900195694,40880,19,80,3,0,397,835,3035495,459.6666666666667,101775,18356,70.9310667134011,14.925885395811681,65.1193200638311,0
Halo: The Master Chief Collection,39.99,0.9276835863005826,191395,700,80,1,0,1965,4292,30841700,1275.3333333333333,156824,410756,10.213883625106224,17.244378260780408,86.98025708036387,1
The Long Dark,34.99,0.914912941384963,90284,56,80,3,0,1128,1774,10860310,702.0,33607,41732,35.582724195889426,16.200625509260764,74.80138534080241,1
FINAL FANTASY V,17.99,0.8636363636363636,990,39,80,1,0,348,204,282718,196.0,4311,1055,20.60026231419411,12.55220875047879,36.44731435127115,1
Expeditions: Rome,44.99,0.8881967213114754,3050,70,80,1,0,1084,467,1068720,1438.0,45969,703,128.46736386584925,13.881973164362035,58.34251268104444,1
The Last Spell,19.99,0.917098445595855,5404,0,80,1,0,3523,491,3876906,2656.5,46913,2777,132.88907931720024,15.170548228746066,67.77341652518616,1
FINAL FANTASY IV,17.99,0.883271375464684,1345,30,80,1,0,885,70,1473352,497.25,178777,952,175.9436350609028,14.20305131371297,44.750321985186034,1
Borderlands: The Pre-Sequel,39.99,0.8103038808225833,37054,63,75,3,0,1814,608,287491,399.0,105766,878,83.33072463768116,12.568950312745432,63.03115712838452,0
ICARUS,34.99,0.6513734899884164,24172,0,80,1,0,2517,2347,7673126,3455.0,81817,17403,37.09010141242665,15.853234782567203,82.23635439273636,0
The Walking Dead: The Final Season,19.99,0.9451421971993648,13854,48,77,1,0,674,45,961667,434.6666666666667,24728,10465,44.99237391222981,13.77642455573707,57.95154273116719,1
Five Dates,4.93,0.9007042253521127,1420,15,80,2,0,93,16,591292,822.0,44089,984,245.24761509746992,13.290066943416507,48.73012862354435,1
Welcome to the Game II,9.99,0.8619560131024802,2137,27,80,2,0,376,10,10960454,2158.285714285714,129007,10366,243.99942119323242,16.209804353220978,58.868450495452635,1
Five Nights at Freddy's 2,7.99,0.9358024691358025,15390,0,62,1,0,145,31,834520,1160.0,87834,13927,59.50231729055258,13.634613186536722,68.04069165182553,1
Cube World,19.99,0.37493683678625567,17811,0,80,1,0,793,42,853426,1186.0,40613,4736,39.388286334056396,13.65701528738883,69.28842103652316,0
Journey To The Savage Planet,29.99,0.8829941860465116,4128,51,76,1,0,359,34,998367,687.5,35949,3481,63.49319511574663,13.813877224801596,54.40500572726657,1
Farming Simulator 15,12.99,0.9152604280809409,13689,16,64,2,0,3719,220,2105119,287.3,5336,31206,8.091849796081537,14.559883030599664,53.946335364460325,1
Assetto Corsa,19.99,0.9186072579515202,71370,709,85,1,0,3905,8363,784266,1090.0,79819,3163,39.93411069810072,13.572504802579223,78.17197358361774,1
Heavy Rain,19.99,0.8239674065748805,7118,56,75,1,0,523,142,1348594,606.6666666666666,40352,2658,316.12611345522737,14.114573867727177,56.85673624985152,0
Football Manager 2021,0.0,0.9332011722116876,23204,98,80,2,1,16905,10947,13596469,1864.2,41991,24725,39.73228970023553,16.42532075819153,75.70378079208962,1
Mansions of Madness,0.0,0.9237983587338804,853,0,80,2,1,264,164,814533,1096.0,62020,1387,127.25089829714108,13.610371449553865,47.25177594036485,1
Anno 1800,0.0,0.8311628969613891,4377,0,81,1,1,5091,329,9654507,1921.0,73394,21927,53.6961106569002,16.082935514493524,63.395069218431004,0
Thronebreaker: The Witcher Tales,19.99,0.8846983560217213,13443,39,85,1,0,860,210,1863826,1262.0,121697,2587,100.28657519504978,14.438142458761654,67.88673416024741,1
Ben and Ed - Blood Party,14.99,0.8801089918256131,1835,23,80,1,0,456,26,133973,180.0,60235,99,628.981220657277,11.805401030256075,39.06849644222124,1
Mount Your Friends 3D: A Hard Man is Good to Climb,2.79,0.8856304985337243,341,9,80,2,0,216,1,190269,283.0,33620,157,694.4124087591241,12.156199395034447,32.96069553821305,1
Tyranny,29.99,0.8671271471416886,11003,70,80,3,0,733,196,275413,383.0,20863,880,45.11269451269451,12.526030699133504,55.37676362962011,1
BONEWORKS,29.99,0.9192168916210076,29932,16,72,1,0,630,474,361796,486.0,22796,3444,26.41810879883169,12.79883856003499,63.78068598402085,1
Card Shark,19.99,0.9150507848568791,1083,52,80,2,0,58,47,633342,880.0,32632,1008,176.46753970465312,13.358767418509974,47.388832500991256,1
War Thunder,0.0,0.7853081111337269,314432,53,81,3,1,4707,48352,55633962,1045.2054794520548,76317,772574,10.450812918787019,17.834304418054487,88.0137848115347,0
Dawn of Man,24.99,0.8691310813681751,14121,24,80,2,0,4014,705,613272,825.0,31980,2465,38.85649116137616,13.32656546651324,64.18034844353926,1
Earthfall,19.99,0.6531165311653117,2214,86,61,1,0,199,4,327308,440.0,34510,1597,67.3750514615068,12.698659957819741,46.90395945452788,0
SpyParty,24.99,0.8281665190434012,1129,0,80,1,0,290,7,1354573,1883.0,79292,1350,247.27510040160644,14.11899757172077,53.014097482656354,0
Rusty Lake Paradise,3.99,0.947239263803681,3260,50,80,2,0,410,67,257303,346.0,12456,392,172.9186827956989,12.458013544204185,47.31980429049034,1
Prison Simulator,19.99,0.8755364806866953,1398,64,80,1,0,325,28,873597,1215.0,24046,1659,131.1904189818291,13.680375594592867,51.45300552313547,1
APB Reloaded,0.0,0.6358634941912422,35808,60,80,1,1,4566,280,277614,399.0,17386,1073,25.83176700474551,12.533990540737104,62.826224853669785,0
Crossout,0.0,0.7726229671754964,50115,193,80,1,1,2650,3615,1667767,326.14285714285717,33198,24166,11.470593899377558,14.326996763498078,62.664229312462,0
Inscryption,19.99,0.971391329142283,73649,40,80,3,0,1076,1678,7129136,1953.6,100025,34226,34.10874016802863,15.779700747196642,84.9265849368587,1
Dota 2,0.0,0.83098633543168,1777590,0,90,3,1,37162,558759,4503767707,58768.171428571426,1636441,4084155,79.18026246129808,22.22818015185343,158.03040481397636,0
Immortal: Unchained,10.99,0.680998613037448,721,43,63,1,0,3532,4,428410,595.0,26724,704,99.49140733859731,12.967838294163526,42.060724714199395,0
Ratropolis,17.99,0.8901935203305066,4599,46,82,2,0,2948,76,748399,1040.0,19053,850,121.84939759036145,13.525692873382072,58.59759212360752,1
Space Engineers,19.99,0.8806032823599398,114308,30,80,1,0,4567,7179,1141496,511.6666666666667,6917,6028,21.402782465219186,13.947851116827641,72.67080459656898,1
Dead Rising 4,29.99,0.5543237250554324,5863,104,74,1,0,422,89,1057028,1422.0,32348,53,43.894688758772475,13.87097270061603,62.996557756212624,0
Mount & Blade II: Bannerlord,49.99,0.8767904412149367,191154,0,80,1,0,5482,17196,33583194,2884.25,243038,65367,53.813701799815405,17.329536351007775,96.8898724179807,1
Transport Fever 2,39.99,0.8836994752926253,17343,61,76,3,0,4649,4154,739280,994.0,26412,1680,44.551042545498376,13.513433371228468,67.37768500187953,1
Dream Daddy: A Dad Dating Simulator,14.99,0.9147879251050821,5234,19,72,3,0,845,37,544538,732.0,30084,3257,46.61342235918507,13.207694844134533,56.492164310489684,1
The Riftbreaker,29.99,0.919015981325193,11138,35,83,1,0,1307,3505,938008,1262.0,24012,2771,38.49817360968603,13.75151482282506,66.54360559264178,1
Yakuza Kiwami 2,29.99,0.9552662490211433,10216,59,82,1,0,1804,450,3940164,1331.0,41126,2817,113.49052364767556,15.186733158569838,66.41766168179127,1
Bus Simulator 18,24.99,0.8048850300543842,10481,28,67,1,0,1037,203,334927,465.0,37341,1025,66.73181908746763,12.721670862334301,56.87927489649912,0
ArcheAge,0.0,0.5215796897038082,7090,0,80,1,1,1877,89,5149024,700.3,24171,11252,32.89081373882938,15.454317934328202,58.10213994537612,0
Brawl of Ages,0.0,0.6876606683804627,778,16,80,3,1,128,0,151756,204.0,16441,60,322.88510638297873,11.930035836358682,35.440659238383745,0
Raft,19.99,0.9321317493499209,196130,104,80,1,0,2875,39404,55160632,2343.78125,209125,356259,28.61877694004653,17.825760086530565,94.56689442080702,1
Clustertruck,14.99,0.9308497279196316,11945,19,76,3,0,264,61,235677,317.0,34003,1766,60.15237366003063,12.370221745577625,54.09501290704879,1
Infliction,19.99,0.8359240069084629,579,18,80,1,0,0,1,419368,564.0,29109,730,184.6622633201233,12.946506479601267,40.32140021452316,0
Teardown,19.99,0.9584468813359786,45869,27,80,1,0,1486,2639,1966486,2735.0,53899,3463,134.90334087946766,14.491759260102427,84.94815382487752,1
Sun Haven,24.99,0.9148612694792855,2631,0,80,2,0,907,321,756077,1051.0,12220,3609,26.098619261304798,13.535899824442712,54.80125539793218,1
